1.000000	0.292137	0.698306	0.455569	0.515173	0.306851	0.549917	0.378718	0.390639	0.328383	0.330748
0.292137	1.000000	0.361015	0.323528	0.299792	0.111953	0.254647	0.146677	0.111561	0.163876	0.164758
0.698306	0.361015	1.000000	0.397431	0.599085	0.416498	0.708424	0.504121	0.411325	0.357608	0.384936
0.455569	0.323528	0.397431	1.000000	0.451792	0.171952	0.400315	0.235967	0.278894	0.261833	0.192337
0.515173	0.299792	0.599085	0.451792	1.000000	0.411863	0.758268	0.542482	0.422474	0.371012	0.408631
0.306851	0.111953	0.416498	0.171952	0.411863	1.000000	0.561623	0.755564	0.627346	0.563601	0.394570
0.549917	0.254647	0.708424	0.400315	0.758268	0.561623	1.000000	0.708564	0.605879	0.521351	0.547338
0.378718	0.146677	0.504121	0.235967	0.542482	0.755564	0.708564	1.000000	0.855507	0.431521	0.486893
0.390639	0.111561	0.411325	0.278894	0.422474	0.627346	0.605879	0.855507	1.000000	0.529933	0.417966
0.328383	0.163876	0.357608	0.261833	0.371012	0.563601	0.521351	0.431521	0.529933	1.000000	0.332373
0.330748	0.164758	0.384936	0.192337	0.408631	0.394570	0.547338	0.486893	0.417966	0.332373	1.000000
